Title,Price,Room Type,No. Beds,Link,Region,Latitude,Longitude,Rating
153 people are looking,$463 HKD,Private room,2 beds,https://www.airbnb.com/rooms/15568480?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.29303121,113.9408522,4.5
Cozy room in tung chung with views,$381 HKD,Private room,2 beds,https://www.airbnb.com/rooms/16993107?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.36890282,114.1758626,5
"Luxury stay, homely atmosphere, special extras BB",$424 HKD,Private room,1 bed,https://www.airbnb.com/rooms/16949098?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.29171171,113.9467516,4.5
Large bedroom close to airport/mtr,$461 HKD,Private room,3 beds,https://www.airbnb.com/rooms/3920387?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,Hong Kong,22.2959188,114.2700643,5
#55 floor# Cozy Apartment for 4#Lohas Park#HKUST,$525 HKD,Private room,1 bed,https://www.airbnb.com/rooms/17349845?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.29095389,113.9433322,5
"Double-bed Room Near Airport,AsiaExpo,Disneyæù±æ¶Œç«™å_§åº_æˆ¿",$412 HKD,Private room,1 bed,https://www.airbnb.com/rooms/5036625?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.29443249,114.2720221,5
SPECTACULAR Seaview NICE Room,$803 HKD,Private room,2 beds,https://www.airbnb.com/rooms/2151547?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.26878137,113.996934,3.5
Beachfront resort on Lantau,$411 HKD,Private room,1 bed,https://www.airbnb.com/rooms/16232856?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.29353549,113.9492184,5
"Caribbean Coast, Tung Chung, Lantau","$1,025 HKD",Entire home/flat,5 beds,https://www.airbnb.com/rooms/15501198?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.36470308,114.053742,4.5
Full-view glass window with sea view with rooftop,$438 HKD,Private room,1 bed,https://www.airbnb.com/rooms/16033679?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.32265992,114.2550604,5
Home Away from Home|æ_‚æ__ç_„å®¶ -åŒ—æ¬§é£_(é™êå¥_ç”Ÿ),$427 HKD,Entire home/apt,8 beds,https://www.airbnb.com/rooms/12513502?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.21136329,114.0285312,4.5
*Cozy*Clean*Quiet* Apartment,$345 HKD,Private room,1 bed,https://www.airbnb.com/rooms/8625100?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.43643192,114.0327423,4.5
"Spacious apartmnt, Amazingly Comfy!",$608 HKD,Private room,1 bed,https://www.airbnb.com/rooms/17791183?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,Hong Kong,22.30484131,114.2595945,
Comfort Inn Downtown Tseung Kwan O,$415 HKD,Private room,3 beds,https://www.airbnb.com/rooms/13088599?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.33625084,114.2367482,5
è¥¿è_¢ç”°åœ’å°èå±‹ Sai Kung idyllic cottages,$941 HKD,Entire home/apt,10 beds,https://www.airbnb.com/rooms/17351594?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.20937461,114.0296629,
NEW! Apartment for Groups - Cheung Chau,$412 HKD,Private room,1 bed,https://www.airbnb.com/rooms/3315931?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.29322129,114.272654,5
SPECTACULAR Seaview COOL Room,$875 HKD,Entire home/apt,1 bed,https://www.airbnb.com/rooms/3327743?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.30245508,114.0104985,4.5
"Fully renovated,convenient location",$803 HKD,Private room,2 beds,https://www.airbnb.com/rooms/2151538?checkin=2017-05-08&checkout=2017-05-10&adults=1&location=hong%20kong,New Territories,22.27013242,113.999873,3.5
